Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Bed,No of Bathrooms,Area,Pets Allowed,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Bed,No of Bathrooms,Area,Pets Allowed,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Bed,No of Bathrooms,Area,Pets Allowed,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Bed,No of Bathrooms,Area,Pets Allowed,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area,Rental Price,Address,No of Beds,No of Bathrooms,Area
"€2,366","Maarten Lutherweg 284, 1185 AX Amstelveen, Netherlands",1,2.0,"1,291 Sq Ft","$1,330",47 Rainey Street,2,2.0,"1,109 Sq Ft","$4,825","158 Clement Dr
Austin, TX 78737","4
bed","2.5
bath","2,869sqft
2,869 square feet","PetsOK
pet friendly policy","£4,853","252 Hubert Road, Selly Oak, B29 6EP, United Kingdom",8,8.0,,"$4,059","Brisbane City, Queensland, Australia",1,2.0,624 Sq Ft,"$2,000","Buffalo, NY",2.0,1.0,"3,462 Sq Ft",,,,,,,"$4,290","Buffalo, NY",3,2.0,"1,200 Sq Ft","$3,589","536 W Arlington Pl, Chicago, IL 60614, USA",2,2.0,"1,350 Sq Ft","$5,900","1351 Falcon Trail, Cedar Hill, TX 75104, USA",1.0,2.0,"1,774 Sq Ft","$375,000","7704 Hull St
Dallas, TX 75216","3
bed","2
bath","1,500sqft
1,500 square feet",,€680,"Geleitsstraße 10, 60599 Frankfurt, Germany",4,1.0,13 Sq M,"£3,432","Craigenbay Road, Lenzie, G66 5JP, United Kingdom",2,1.0,,"$2,900","34 O Street, Seaside Park, NJ 08752, USA",4.0,1.0,"1,580 Sq Ft",,,,,,,"$14,866","Red Hill South, Melbourne, Victoria, Australia",4,3.0,731 Sq Ft,"$1,850","1900 North Bayshore Drive, Unit 4905",1,1.0,778 Sq Ft,"€1,690","Lindwurmstraße 191, 80337 Munich, Germany",2,1.0,38 Sq M,"$1,445","Orlando, FL, 32896",1,1.0,"1,230 Sq Ft","$2,624","300 Lett Street, Ottawa, ON K1R 0B8, Canada",3,1.0,600 Sq Ft,"$5,837","Ascot WA 6104, Australia",2,2.0,807 Sq Ft,"$6,156","Bondi NSW 2026, Australia",2,1.0,969 Sq Ft,"¥190,795","Fujisawa, Kanagawa Prefecture 251-0036, Japan",Studio,1.0,26 Sq M,"$3,913","Northcliffe Village, York, ON M6E 3H4, Canada",1,1.0,"1,200 Sq Ft","$5,340","Commercial, Vancouver, BC V5L 2W1, Canada",2.0,1.0,592 Sq Ft,"$4,600","7485 Saybrook Point Drive, Las Vegas, NV 89128, USA",4,2.5,"2,581 Sq Ft"
,"1027 Amsterdam, Netherlands",,,,,"W Austin, 200 Lavaca Street, Austin, TX 78701, USA",,,,"$1,102 - $2,032","Urban North
8101 San Felipe Blvd, Jollyville, TX 78729","Studio - 2
bed","1 - 2
bath","581 - 1,058sqft
581 - 1,058 square feet","PetsOK
pet friendly policy",,"22 Luton Road, Selly Oak, B29 7BN, United Kingdom",,,,,"Brisbane City, Queensland, Australia",,,,,"Buffalo, NY",,,,,,,,,,,"561 Ontario Street, Buffalo, NY 14207, USA",,,,,"Running Away Multisport, 2217-2219 North Clybourn Avenue, Chicago, IL 60614, USA",,,,,"Raiford Road, Carrollton, TX 75007, USA",,,,"$150,000","11470 Audelia Rd Apt 364
Dallas, TX 75243","3
bed","2
bath","1,237sqft
1,237 square feet",,,"Gutleutstraße 45, 60329 Frankfurt, Germany",,,,,"17 Banavie Road, Partickhill, Glasgow, G11 5AW, United Kingdom",,,,,"300 4th Avenue, Spring Lake, Monmouth County, NJ 07762, USA",,,,,,,,,,,"Docklands VIC 3008, Australia",,,,,"Miami, FL",,,,,"Green Levels, Tübinger Straße, 80686 Munich, Germany",,,,,"1457 Barbados Avenue, Alafaya, FL 32825, USA",,,,,"Carleton Place, ON K7C 0B4, Canada",,,,,"East Perth WA 6004, Australia",,,,,"Bondi Beach NSW 2026, Australia",,,,,"Zushi, Kanagawa Prefecture, Japan",,,,,"West Bend, Toronto, ON M6P 2G1, Canada",,,,,"Kerrisdale, Vancouver, BC V6M 4C4, Canada",,,,,"2427 East Mc Williams Avenue, Las Vegas, NV 89101, USA",,,
"€7,469","Jan van Zutphenstraat 251, 1069 RR Amsterdam, Netherlands",2,2.0,117 Sq M,"$3,300","13400 Clerk Street, Pflugerville, TX 78660, USA",2,2.0,988 Sq Ft,"$1,275 - $1,692","Willows
600 S 1st St, Austin, TX 78704","Studio - 2
bed","1
bath","512 - 856sqft
512 - 856 square feet",,"£2,167","Harborne Lane / Reservoir Rd, Harborne Lane, Selly Oak, B29 6TQ, United Kingdom",5,2.0,,"$9,303","Brisbane City, Queensland, Australia",2,2.0,11 Sq Ft,"$1,300","Buffalo, NY",3.0,1.0,"2,388 Sq Ft",,,,,,,"$3,900","Buffalo, NY",2,1.0,"1,200 Sq Ft","$1,550","1440 South Wabash Avenue, Chicago, IL 60605, USA",1,1.0,520 Sq Ft,"$6,950",102 Monarch Wy,4.0,2.0,"1,934 Sq Ft","$399,000","5525 Glen Forest Ln
Dallas, TX 75241","4
bed","3.5
bath","2,910sqft
2,910 square feet",,"€1,611","Main Plaza, Walther-von-Cronberg-Platz 1, 60594 Frankfurt, Germany",Studio,1.0,43 Sq M,£950,"91 Dowanhill Street, Partickhill, Glasgow, G12 9EG, United Kingdom",2,1.0,,"$32,000","718 East Avenue, Bay Head, Ocean County, NJ 08742, USA",3.0,3.0,"2,840 Sq Ft",,,,,,,"$19,290","Melbourne, Victoria, Australia",5,1.0,"1,615 Sq Ft","$3,850",495 Brickell Avenue,1,1.0,628 Sq Ft,"€2,590","Regerplatz 2, 81541 Munich, Germany",Studio,1.0,44 Sq M,"$12,540","651 Smith Street, Orlando, FL 32804, USA",3,3.0,"1,285 Sq Ft","$1,000","Nepean, Gatineau, QC J9J 2T3, Canada",1,1.0,,"$5,062","Harrisdale, City Of Armadale, Western Australia, Australia",2,1.0,"1,829 Sq Ft","$9,029","Waverley NSW 2024, Australia",1,2.0,269 Sq Ft,"¥321,867","Arakawa, Japan",1,1.0,183 Sq Ft,"$4,525","Bloor, Toronto, ON M5R 1C4, Canada",2,2.0,"5,500 Sq Ft","$10,598","Vancouver Maritime Museum, 1905 Ogden Avenue, Vancouver, BC V6J 1A3, Canada",2.0,1.0,549 Sq Ft,"$1,800","1782 South 17th Street, Las Vegas, NV 89104, USA",4,3.5,"2,352 Sq Ft"
,"1061 North Holland, Netherlands",,,,,"Austin, Oak Ridge, US",,,,"$250,000","5613 Kleberg Trl
Austin, TX 78747","3
bed","2
bath","1,643sqft
1,643 square feet",,,"53 Rebecca Drive, Selly Oak, B29 6TP, United Kingdom",,,,,"Spring Hill, Brisbane City, Queensland, Australia",,,,,"Buffalo, NY",,,,,,,,,,,"Buffalo, NY",,,,,"3000 80th Avenue, River Grove, Leyden Township, IL 60171, USA",,,,,"Dallas, TX",,,,"$1,303 - $3,201","Domain at Midtown Park
8169 Midtown Blvd, Dallas, TX 75231","Studio - 3
bed","1 - 2.5
bath","598 - 1,786sqft
598 - 1,786 square feet",pet friendly policy,,"Grüneburgweg 106, 60323 Frankfurt, Germany",,,,,"Exhibition Centre Railway Station, Minerva Street, Glasgow, G3 8BY, United Kingdom",,,,,"33 New York Avenue, Lavallette, Ocean County, NJ 08735, USA",,,,,,,,,,,"Melbourne, Victoria, Australia",,,,,"Miami, FL",,,,,"Walter-Gropius-Straße 15, 80807 Munich, Germany",,,,,"Orlando, FL",,,,,"Gatineau, Gatineau, CA",,,,,"Cannington, Armadale Railway PSP, East Cannington WA 6107, Australia",,,,,"Freshwater NSW 2096, Australia",,,,,"Setagaya, Japan",,,,,"Little Italy, Toronto, ON M6H 1G9, Canada",,,,,"Yaletown, Vancouver, BC V6B 1T7, Canada",,,,,"7827 North Tarberts Cottage Street, Las Vegas, NV 89166, USA",,,
"€4,431","1012 North Holland, Netherlands",2,1.0,113 Sq M,"$8,400","3213 Jewelfish Cove, Travis County, TX 78728, USA",4,4.5,"4,381 Sq Ft","$332,415","Tartini Plan, Longview 40s - Alley Community
Austin, TX 78617","3
bed","2.5
bath","1,692sqft
1,692 square feet",,"£1,500","The Lansdowne, 25 Hagley Road, Park Central, B16 8FU, United Kingdom",3,2.0,,"$6,430","Brisbane City, Queensland, Australia",3,2.0,11 Sq Ft,"$1,500","102 Mulberry Street, Buffalo, NY 14204, USA",3.0,1.0,"1,147 Sq Ft",,,,,,,"$1,550","42 Alden Avenue, Buffalo, NY 14216, USA",2,1.0,"2,270 Sq Ft","$4,150","3320 W Altgeld St, Unit 1F",2,2.0,"1,115 Sq Ft","$3,250","9102 Lochgreen Lane, Rowlett, TX 75089, USA",4.0,3.5,"2,245 Sq Ft","$1,580 - $3,090","Elan At Bluffview Apartments
3850 W Northwest Hwy Ste 1000, Dallas, TX 75220","1 - 3
bed","1 - 3
bath","822 - 1,633sqft
822 - 1,633 square feet","PetsOK
pet friendly policy",€899,"Gateway Gardens Mitte, Amelia-Mary-Earhart-Straße, 60549 Frankfurt, Germany",1,1.0,19 Sq M,£895,"40-42 King's Park Road, Glasgow, G44 4SU, United Kingdom",2,1.0,,"$5,000","unnamed road, Lake Como, Monmouth County, NJ 07762, USA",4.0,2.5,"1,801 Sq Ft",,,,,,,"$3,967","Melbourne VIC 3931, Australia",1,2.0,"1,356 Sq Ft","$1,650","7601 East Treasure Drive, North Bay Village, Miami-Dade County, FL 33141, USA",Studio,1.0,423 Sq Ft,"€1,790","Allescherstraße 21, 81479 Munich, Germany",Studio,1.0,30 Sq M,"$2,100","Orlando, FL",2,2.5,"1,334 Sq Ft","$2,311","Tunney's Pasture, Gatineau, QC J8Y 4X3, Canada",2,3.0,,"$6,156","Scarborough WA 6019, Australia",Studio,1.0,700 Sq Ft,"$45,876","Bayview NSW 2104, Australia",4,2.0,969 Sq Ft,"¥400,159","220 Yamashita, Naka",1,1.0,215 Sq Ft,"$8,234","Toronto, ON M5J 0B1, Canada",6,4.0,"2,200 Sq Ft","$5,625","Coal Harbour, Vancouver, BC V6B 1L7, Canada",2.0,2.0,"1,200 Sq Ft","$2,250","4325 Jordanville Street, Las Vegas, NV 89129, USA",3,2.5,"1,452 Sq Ft"
,"1057 JH Amsterdam, Netherlands",,,,,"1007 Edgerly Lane, Pflugerville, TX 78660, USA",,,,"$672,990","Edwards Plan, Rees Landing Estates Community
Spicewood, TX 78669","4
bed","3
bath","2,824sqft
2,824 square feet",,,"261 Heeley Road, Selly Oak, B29 6EL, United Kingdom",,,,,"South Brisbane, Grey Street, South Brisbane QLD 4101, Australia",,,,,"152 Oxford Avenue, Buffalo, NY 14209, USA",,,,,,,,,,,"Buffalo, NY",,,,,"124 W Polk St, Unit 00205",,,,,"1437 Chesterton Drive, Richardson, TX 75080, USA",,,,"$1,619","Furnished Studio - Dallas - Frankford Road
18470 N Dallas Pkwy, Dallas, TX 75287",Studio,"1
bath","300sqft
300 square feet","PetsOK
pet friendly policy",,"Staufenstraße 34, 60323 Frankfurt, Germany",,,,,"7 St Mungo Avenue, Glasgow, G4 0PF, United Kingdom",,,,,"254 Lake Avenue, Long Branch, NJ 07740, USA",,,,,,,,,,,"Capel Sound VIC 3940, Australia",,,,,"521 Northeast 74th Street, Little River, Miami, FL 33138, USA",,,,,"Alte Münchner Straße 45, 85774 Unterföhring, Germany",,,,,"Westgate Dr. and S. Kirkman Rd., Westgate Drive, MetroWest, Orlando, FL 32835, USA",,,,,13107 Rover Street,,,,,"Crawley WA 6009, Australia",,,,,"Rhodes NSW 2138, Australia",,,,,"Fujisawa, Kanagawa Prefecture, Japan",,,,,"Malton, Mississauga, ON L4T 2W7, Canada",,,,,"North Vancouver City, North Vancouver, BC V7L 1L9, Canada",,,,,"410 San Pablo Drive, Las Vegas, NV 89104, USA",,,
"€1,150","Gerrit Rietveldsingel, 1112 ZB Diemen, Netherlands",1,3.0,592 Sq Ft,"$3,100",5916 Kevin Kelly Place,4,2.0,"1,380 Sq Ft","$1,400 - $1,795","The Leaf Group
601 W 11th St, Austin, TX 78701","1 - 2
bed","1 - 2
bath","696 - 1,150sqft
696 - 1,150 square feet","PetsOK
pet friendly policy","£3,510","Xanadu, 25 Oak Tree Lane, Selly Oak, B29 6JE, United Kingdom",6,6.0,,"$19,016","Spring Hill, Brisbane City, Queensland, Australia",3,1.0,"1,025 Sq Ft","$5,700","91 Grant Street, Buffalo, NY 14213, USA",4.0,2.0,"2,100 Sq Ft",,,,,,,"$5,760","Buffalo, NY",4,1.0,"1,450 Sq Ft","$4,995","3326 W North Ave, Unit 3",3,2.5,"1,900 Sq Ft","$5,400","9916 Fieldcrest Drive, Dallas, TX 75238, USA",3.0,2.0,"2,678 Sq Ft","$375,000","7704 Hull St
Dallas, TX 75216","3
bed","2
bath","1,500sqft
1,500 square feet",,€690,"Rohmerstraße 8, 60486 Frankfurt, Germany",3,1.0,45 Sq M,£850,"10 Wood Street, Glasgow, G31 3BT, United Kingdom",2,1.0,,"$3,750","Second Baptist Church, Atkins Avenue, Asbury Park, NJ 07753, USA",3.0,2.5,"2,312 Sq Ft",,,,,,,"$30,189","Footscray, Paisley Street, Footscray VIC 3011, Australia",Studio,1.0,355 Sq Ft,"$2,300","700 Northeast 63rd Street, Bayshore, Miami, FL 33138, USA",1,1.0,654 Sq Ft,"€2,926","Munich, Bavaria, Germany",Studio,1.0,22 Sq M,"$1,995","Winter Park, FL",3,2.0,"3,391 Sq Ft","$3,123","Carleton Place, ON K7C 0L1, Canada",3,3.0,,"$8,528","City Of Armadale, Mount Richon, AU",Studio,2.0,11 Sq Ft,"$22,300","Bundeena NSW 2230, Australia",3,1.0,,"¥882,959","Taito, Japan",2,3.0,753 Sq Ft,"$5,625","Toronto, ON M5J 0B1, Canada",4,4.0,"2,000 Sq Ft","$3,669","Mount Pleasant, Vancouver, BC V5T 0K4, Canada",1.0,1.0,800 Sq Ft,"$1,800","5280 West Cheyenne Avenue, Las Vegas, NV 89108, USA",1,1.0,685 Sq Ft
,"Rozenoord 143, 1181 MD Amstelveen, Netherlands",,,,,"302 West 38th Street, Austin, TX 78705, USA",,,,"$1,080 - $1,605","Saddle Creek and The Cove
10801 Old Manchaca Rd, Austin, TX 78748","1 - 2
bed","1 - 2
bath","626 - 1,159sqft
626 - 1,159 square feet","PetsOK
pet friendly policy",,"137 Heeley Road, Selly Oak, B29 6EJ, United Kingdom",,,,,"Brisbane City, Queensland, Australia",,,,,"1168 Tonawanda Street, Buffalo, NY 14207, USA",,,,,,,,,,,"Buffalo, NY",,,,,"6621 N Northwest Hwy, Unit 1N",,,,,"7445 Delta Drive, Rowlett, TX 75088, USA",,,,"$150,000","11470 Audelia Rd Apt 364
Dallas, TX 75243","3
bed","2
bath","1,237sqft
1,237 square feet",,,"Einkaufsmeile Leipziger Straße, Friesengasse 19, 60487 Frankfurt, Germany",,,,,"27 Walton Avenue, Newton Mearns, G77 6ET, United Kingdom",,,,,"Center Street, Sea Bright, Monmouth County, NJ 07760, USA",,,,,,,,,,,"Richmond VIC 3121, Australia",,,,,2250 Bay Drive,,,,,"Adlzreiterstraße 13, 80337 Munich, Germany",,,,,"785 Palmer Street, Orlando, FL 32801, USA",,,,,71 Halley Street,,,,,"Fremantle, City of Fremantle, Australia",,,,,"Sydney NSW 2060, Australia",,,,,"Minato, Japan",,,,,"North Midtown, Toronto, ON M4W 1L4, Canada",,,,,"Hastings-Sunrise, North Vancouver, BC V7J 1C8, Canada",,,,,"3295 Dragoon Springs Street, Summerlin South, NV 89135, USA",,,
€869,"Bijlmerdreef 743, 1103 TA Amsterdam, Netherlands",4,1.0,646 Sq Ft,"$2,354","2500 Burleson Road, Austin, TX 78741, USA",1,1.0,729 Sq Ft,"$3,750","4102 Steep Rock Ln
Austin, TX 78732","4
bed","3.5
bath","3,098sqft
3,098 square feet",,"£4,396","UF, Harborne Park Road, Metchley, B17 0NG, United Kingdom",7,7.0,,"$10,033","Brisbane City, Queensland, Australia",2,2.0,753 Sq Ft,"$10,500","Buffalo, NY",6.0,2.0,"1,163 Sq Ft",,,,,,,"$8,880","617 Niagara Street, Buffalo, NY 14201, USA",3,1.0,"8,005 Sq Ft","$2,750","1608 W Sherwin Ave, Unit 503",2,1.0,700 Sq Ft,"$3,145","Dallas, TX",5.0,2.5,"3,020 Sq Ft","$399,000","5525 Glen Forest Ln
Dallas, TX 75241","4
bed","3.5
bath","2,910sqft
2,910 square feet",,"€2,255","Mainluststraße 6, 60329 Frankfurt, Germany",2,1.0,16 Sq M,"£1,350","Coplaw Street, Glasgow, G42 7JN, United Kingdom",3,2.0,,"$3,800","98 Hayes Street, East Long Branch, Long Branch, NJ 07740, USA",4.0,1.0,916 Sq Ft,,,,,,,"$38,489","3006, Australia",4,2.0,11 Sq Ft,"$3,300","Hyde Midtown Miami, 3401 Northeast 1st Avenue, Buena Vista, Miami, FL 33137, USA",1,1.5,838 Sq Ft,€915,"Green Levels, Tübinger Straße 3, 80686 Munich, Germany",3,1.0,15 Sq M,"$6,270","Orlando, FL",5,5.0,967 Sq Ft,"$4,373","Gatineau, QC J8X 3J3, Canada",3,3.0,,"$9,887","South Fremantle WA 6162, Australia",2,2.0,"1,076 Sq Ft","$6,476","Oxley Park NSW 2760, Australia",2,2.0,,"¥1,37M","Chiba, Chiba Prefecture, Japan",Studio,1.0,"1,507 Sq Ft","$9,824","Old Toronto, Chaplin Estates, CA",3,1.0,495 Sq Ft,"$9,579","Vancouver East, Vancouver, BC V5Z 3L5, Canada",1.0,1.0,"1,600 Sq Ft","$2,500","Sky Las Vegas, South Las Vegas Boulevard, Winchester, NV 89109, USA",3,2.0,"1,013 Sq Ft"
,"Radisson Amsterdam South, Professor W.H. Keesomlaan, 1183 DJ Amstelveen, Netherlands",,,,,"1703 East Martin Luther King Jr Boulevard, Austin, TX 78722, USA",,,,"$250,000","5613 Kleberg Trl
Austin, TX 78747","3
bed","2
bath","1,643sqft
1,643 square feet",,,"204 Tiverton Road, Selly Oak, B29 6BU, United Kingdom",,,,,"Brisbane City, Queensland, Australia",,,,,25 Homer Ave,,,,,,,,,,,"Buffalo, NY",,,,,"2341 W Montana St, Unit 001RA",,,,,"4032 Bowser Avenue, Dallas, TX 75219, USA",,,,"$990 - $1,650","Skye at Love
3535 Webb Chapel Ext, Dallas, TX 75220","1 - 2
bed","1 - 2
bath","606 - 992sqft
606 - 992 square feet","PetsOK
pet friendly policy",,"Launitzstraße 19, 60594 Frankfurt, Germany",,,,,"46 Buccleuch Street, Glasgow, G3 6PQ, United Kingdom",,,,,"304 Oak Knolls Drive, Clarks Mills, Manalapan Township, NJ 07726, USA",,,,,,,,,,,"Prahran VIC 3181, Australia",,,,,"1058 Northwest 55th Terrace, Liberty Square, Miami, FL 33127, USA",,,,,"Top One Hairstyling, Landsberger Straße, 80339 Munich, Germany",,,,,"1886 Meadow Pond Way, Meadow Woods, Orange County, FL 32824, USA",,,,,"District St - Raymond - Vanier, Gatineau, QC J8T 1V6, Canada",,,,,"Cottesloe WA 6011, Australia",,,,,"Maianbar NSW 2230, Australia",,,,,Nak be aldea zama,,,,,"The Beach Triangle, Toronto, ON M4L 1G7, Canada",,,,,"Robson Street, Vancouver, BC V6E 4T8, Canada",,,,,"10365 Hunters Meadow Avenue, Las Vegas, NV 89144, USA",,,
"€5,880","1018 North Holland, Netherlands",2,2.0,96 Sq M,"$7,000",111 Sandra Muraida Way,2,2.5,"1,423 Sq Ft","$332,415","Tartini Plan, Longview 40s - Alley Community
Austin, TX 78617","3
bed","2.5
bath","1,692sqft
1,692 square feet",,"£2,184","Grosvenor Road, Harborne, B17 9AN, United Kingdom",6,2.0,,"$10,762","South Brisbane, Grey Street, South Brisbane QLD 4101, Australia",2,2.0,11 Sq Ft,"$6,030","383 Victoria Boulevard, Buffalo, NY 14217, USA",3.0,1.0,"1,684 Sq Ft",,,,,,,"$1,000","Buffalo, NY",2,1.0,"1,222 Sq Ft","$3,295","710 S Wells St, Unit 1611",2,2.0,"1,200 Sq Ft","$2,350","2210 Canton Street, Dallas, TX 75201, USA",2.0,2.0,"1,151 Sq Ft","$1,200","4047 Herschel Ave Apt C
Dallas, TX 75219","1
bed","1
bath","655sqft
655 square feet","PetsOK
pet friendly policy","€1,781","Amelia-Mary-Earhart-Straße 5, 60549 Frankfurt, Germany",Studio,1.0,35 Sq M,"£1,400","16 Speirs Wharf, Glasgow, G4 9TJ, United Kingdom",2,1.0,,"$4,000","220 4th Avenue, Bradley Beach, Monmouth County, NJ 07720, USA",3.0,2.0,"2,256 Sq Ft",,,,,,,"$8,026",601 Little Collins Street,2,2.0,462 Sq Ft,"$6,720","Miami, FL",1,1.0,775 Sq Ft,€945,"Munich, Bavaria, Germany",4,1.0,16 Sq M,"$2,300","Orlando Health - Lake Nona, Dowden Road, Orlando, FL 32832, USA",3,2.0,"1,005 Sq Ft","$7,419",2849 W Obsidian St,3,4.0,,"$7,889","West Perth WA 6005, Australia",2,2.0,,"$22,163","Cremorne NSW 2090, Australia",4,1.0,,"¥943,852","Kanagawa Prefecture 240-0112, Japan",4,1.0,258 Sq Ft,"$14,552","Toronto, North York, CA",3,3.0,650 Sq Ft,"$7,867","Dunbar, Vancouver, BC V6S 2E4, Canada",1.0,1.0,700 Sq Ft,"$1,895","102159 Sealion Drive, Las Vegas, NV 89128, USA",3,2.0,"1,690 Sq Ft"
,"Maarten Lutherweg 218, 1185 AV Amstelveen, Netherlands",,,,,"Austin, TX",,,,"$672,990","Edwards Plan, Rees Landing Estates Community
Spicewood, TX 78669","4
bed","3
bath","2,824sqft
2,824 square feet",,,"Lower Edgbaston Reservoir, Mostyn Road, Chad Valley, B16 9DU, United Kingdom",,,,,"Brisbane City, Queensland, Australia",,,,,"524 Richmond Avenue, Buffalo, NY 14222, USA",,,,,,,,,,,"Buffalo, NY",,,,,"744 N Clark St, Unit 2305",,,,,"9533 Rocky Branch Drive, Dallas, TX 75243, USA",,,,"$935 - $1,290","Claro Court
10950 Woodmeadow Pkwy, Dallas, TX 75228","1 - 2
bed","1 - 2
bath","489 - 1,048sqft
489 - 1,048 square feet","PetsOK
pet friendly policy",,"Schleiermacherstraße 10, 60316 Frankfurt, Germany",,,,,"Shettleston, Balgair Terrace, Glasgow, G32 0PF, United Kingdom",,,,,"201 8th Avenue, Dover Beaches South, Toms River, NJ 08751, USA",,,,,,,,,,,"Preston VIC 3072, Australia",,,,,"608 Northeast 32nd Street, Buena Vista, Miami, FL 33137, USA",,,,,"Einsteinstraße 46, 81675 Munich, Germany",,,,,"15629 Willow Arbor Circle, Meadow Woods, Orange County, FL 32824, USA",,,,,"(Old) Ottawa, Hunt Club, CA",,,,,"Warnbro, City Of Rockingham, Western Australia, Australia",,,,,"Sydney, New South Wales, Australia",,,,,"Setagaya, Japan",,,,,"Highbrush, Pickering, ON L1V 6Y4, Canada",,,,,"Yaletown, Vancouver, BC V6B 6L6, Canada",,,,,"10700 Amber Ridge Drive, Las Vegas, NV 89144, USA",,,
€669,"1016 EP Amsterdam, Netherlands",4,1.0,92 Sq M,"$2,300","Austin, TX",3,2.0,"1,472 Sq Ft","$1,116 - $1,848","The Estate on Quarry Lake Apartment Homes
4600 Seton Center Pkwy, Jollyville, TX 78759","1 - 2
bed","1 - 2
bath","621 - 1,177sqft
621 - 1,177 square feet","PetsOK
pet friendly policy","£2,167","22 Luton Road, Selly Oak, B29 7BN, United Kingdom",5,2.0,,"$6,567","Brisbane City, Queensland, Australia",Studio,1.0,,"$6,180",306 Pennsylvania Street,1.0,1.0,"1,364 Sq Ft",,,,,,,"$7,890","58 Trinity Place, Buffalo, NY 14201, USA",3,2.0,"2,700 Sq Ft","$2,900","2522 N Milwaukee Ave, Unit 1 Bed",2,2.0,"1,050 Sq Ft","$2,900","Percheron Drive, Mesquite, TX 75150, USA",4.0,3.0,"2,152 Sq Ft","$375,000","7704 Hull St
Dallas, TX 75216","3
bed","2
bath","1,500sqft
1,500 square feet",,"€3,450","Rohmerstraße 8, 60486 Frankfurt, Germany",Studio,1.0,35 Sq M,"£1,495","Dumbarton Road, Partickhill, Glasgow, G11 6NX, United Kingdom",2,2.0,,"$12,000","24 White Pine Road, Fresh Ponds, South Brunswick, NJ 08831, USA",4.0,3.5,"1,936 Sq Ft",,,,,,,"$8,437","Point Lonsdale VIC 3225, Australia",2,3.0,11 Sq Ft,"$4,500","Miami, FL",1,1.0,984 Sq Ft,€745,"Kapuzinerstraße 35, 80469 Munich, Germany",6,1.0,15 Sq M,"$2,545","Private access for Condo, No Trespassing, Winter Park, FL 32789, USA",2,2.0,"3,000 Sq Ft","$10,109","Gatineau, QC J9J 3T7, Canada",5,1.0,,"$8,528","East Perth WA 6004, Australia",3,2.0,,"$7,524","Bondi Beach NSW 2026, Australia",1,1.0,,"¥534,995","Taito, Japan",1,1.0,280 Sq Ft,"$7,174","University Plaza, Richmond Street West, Old Toronto, ON M5V 1V6, Canada",1,1.0,800 Sq Ft,"$4,321","Kitsilano, Vancouver, BC V6J 2E7, Canada",2.0,2.0,835 Sq Ft,"$3,500","Palm Valley Golf Course, Sun City Boulevard, Las Vegas, NV 89134, USA",3,3.0,"2,792 Sq Ft"
,"Leusdenhof 14, 1108 CP Amsterdam, Netherlands",,,,,"Austin, TX",,,,"$1,159 - $1,845","Studio Haus
1812 E 6th St, Austin, TX 78702",Studio,"1
bath","262 - 562sqft
262 - 562 square feet","PetsOK
pet friendly policy",,"28 Oak Tree Lane, Selly Oak, B29 6HX, United Kingdom",,,,,George St,,,,,"Buffalo, NY",,,,,,,,,,,"147 West Hazeltine Avenue, Buffalo, NY 14217, USA",,,,,"195 N Harbor Dr, Unit 3104",,,,,"Vitruvian Way, Addison, TX 75234, USA",,,,"$150,000","11470 Audelia Rd Apt 364
Dallas, TX 75243","3
bed","2
bath","1,237sqft
1,237 square feet",,,"Freiligrathstraße 54, 60385 Frankfurt, Germany",,,,,"Western Baths, Cranworth Street, North Kelvinside, Glasgow, G12 8BZ, United Kingdom",,,,,"Inverness Drive, Freehold Township, NJ 07728, USA",,,,,,,,,,,"CM's, Elizabeth Street, Melbourne VIC 3000, Australia",,,,,"300 S Biscayne Blvd, Unit L632",,,,,"Lohstraße 10, 81543 Munich, Germany",,,,,"Winter Park, FL",,,,,"Parliamentary Precinct, Gatineau, QC J8X 3T2, Canada",,,,,"Fremantle, City of Fremantle, Australia",,,,,"Bondi Beach NSW 2026, Australia",,,,,"Shinjuku, 169-0073, Japan",,,,,3 dewitt rd,,,,,"Granville Island, Vancouver, BC V6Z 2R1, Canada",,,,,"South Miller Lane, Spring Valley, NV 89147, USA",,,
